id,timestamp,name,gesture,palmPX,palmPY,palmPZ,f0PosX,f0PosY,f0PosZ,f1PosX,f1PosY,f1PosZ,f2PosX,f2PosY,f2PosZ,f3PosX,f3PosY,f3PosZ,f4PosX,f4PosY,f4PosZ,Df0palm,Df1palm,Df2palm,Df3palm,Df4palm,Df0f1,Df0f2,Df0f3,Df0f4,Df1f0,Df1f2,Df1f3,Df1f4,Df2f0,Df2f1,Df2f3,Df2f4,Df3f0,Df3f1,Df3f2,Df3f4,Df4f0,Df4f1,Df4f2,Df4f3,handDirX,handDirY,handDirZ,f0DirX,f0DirY,f0DirZ,f1DirX,f1DirY,f1DirZ,f2DirX,f2DirY,f2DirZ,f3DirX,f3DirY,f3DirZ,f4DirX,f4DirY,f4DirZ,f0Ext,f1Ext,f2Ext,f3Ext,f4Ext,Confidence
35,1449084984756,Xandi,1,32.97216,209.1605,-15.60963,23.25829,260.6658,-60.7261,-9.041543,214.6595,-27.83035,-9.434449,206.841,-17.80547,-4.888461,197.358,-8.472464,4.294794,183.8875,-2.363508,69.1569986096632,44.1016961543823,42.5281770653568,40.2993083726689,40.4566943779917,65.1338151725781,76.2129900812029,86.7821774656955,98.2903056004833,65.1338151725781,12.7215931040027,26.3015563591996,42.1142940795482,76.2129900812029,12.7215931040027,14.0715324293759,30.8855733133271,86.7821774656955,26.3015563591996,14.0715324293759,17.4134258642448,98.2903056004833,42.1142940795482,30.8855733133271,17.4134258642448,0.1868538,-0.5377769,-0.8220693,0.1404954,0.1307156,-0.9813942,-0.1687359,0.4606457,0.8713505,-0.1879493,0.5221624,0.8318304,-0.3005085,0.6576085,0.6906378,-0.4004467,0.6533254,0.6424122,1.0,0.0,0.0,0.0,0.0,0.4648315
36,1449084991988,Xandi,2,39.02526,216.5818,8.162197,23.58634,206.8767,-38.2227,11.91776,153.3079,-32.76587,0.09334202,203.1032,1.436794,4.367861,204.2943,16.0762,12.723,197.5644,30.01898,49.8455453310708,80.0851703527871,41.7525037309552,37.6208012222013,39.1381350253862,55.1001917100577,46.2565889262237,57.6649580225171,69.734897517151,55.1001917100577,61.5584577832844,71.0095589006373,76.8216307304926,46.2565889262237,61.5584577832844,15.2998006752224,31.7414511724435,57.6649580225171,71.0095589006373,15.2998006752224,17.59654858035,69.734897517151,76.8216307304926,31.7414511724435,17.59654858035,0.4804799,-0.8135203,-0.327365,0.202088,-0.9475098,-0.2473865,-0.6141619,-0.7763701,-0.1410934,-0.4541915,0.8349347,0.3104325,-0.4671694,0.8730388,0.1390909,-0.5714114,0.8140414,0.10293546,0.0,1.0,0.0,0.0,0.0,0.5260908
37,1449084998572,Xandi,3,4.438351,193.5036,22.73509,2.8042311,237.085,10.369957,31.65246,213.8388,-63.96357,-1.833153,206.4307,-71.86822,-31.07566,202.2777,-57.88181,-28.14501,230.653,13.758955,45.5149634891051,93.1760385202488,95.7486985146786,88.6027921466181,50.4229573469875,83.2207084679318,88.0693227981823,83.9465816143206,32.3577444794361,83.2207084679318,35.1997442116229,64.0806836860294,99.6114577647055,88.0693227981823,35.1997442116229,32.683910693399,92.8841270414691,83.9465816143206,64.0806836860294,32.683910693399,77.1917580370556,32.3577444794361,99.6114577647055,92.8841270414691,77.1917580370556,-0.06977398,0.036838696,-0.9937951,-0.5200664,0.3982193,-0.7375459,0.07837432,0.2586639,-0.9621769,-0.1212757,0.2429558,-0.9621351,-0.2681216,0.3003667,-0.9148959,0.232648,0.8226805,0.4914753,0.0,1.0,1.0,1.0,0.0,0.8364048
38,1449085001839,Xandi,4,10.22944,205.8254,23.0346,19.80065,249.8149,4.712582,35.20743,226.1863,-63.49163,0.4593355,215.6099,-71.30738,-25.0514,197.8069,-59.7632,-49.68774,199.0352,-30.59174,48.6092770275708,92.3486289709545,95.3563948264763,90.3614394355208,80.7007740297213,73.8304277477386,85.5794589933777,94.200755724925,93.0332674739824,73.8304277477386,37.1547566143322,66.7148292428702,95.0126275704547,85.5794589933777,37.1547566143322,33.1834163447795,66.6900399701565,94.200755724925,66.7148292428702,33.1834163447795,38.2081289669522,93.0332674739824,95.0126275704547,66.6900399701565,38.2081289669522,-0.05633573,-0.0143978405,-0.9982052,-0.2812697,0.3986816,-0.8727741,0.03753206,0.2823872,-0.9580265,-0.1717395,0.2083375,-0.9626785,-0.2679129,0.05378038,-0.9618639,-0.4656473,0.1154421,-0.8773072,0.0,1.0,1.0,1.0,1.0,1.0
39,1449085021755,Xandi,5,27.39952,212.7604,31.71683,-26.24251,218.3738,-4.320715,10.66262,225.9988,-37.59373,17.78634,212.5261,-41.79042,4.717006,185.0034,18.35609,18.61465,180.2698,16.88526,64.8670257236358,72.521915922013,74.1344111025551,38.2552614397483,36.7805173301329,50.2717500986462,58.1097499348621,50.8563722093926,62.5606510803067,50.2717500986462,15.8079739750225,69.6166107832774,71.5710995181292,58.1097499348621,15.8079739750225,67.4243357788797,66.9633363962603,50.8563722093926,69.6166107832774,67.4243357788797,14.755438455922,62.5606510803067,71.5710995181292,66.9633363962603,14.755438455922,0.4274909,0.373264,-0.8233604,-0.1682787,0.1844994,-0.9683101,-0.6486117,-0.6226802,-0.4373515,-0.7735216,-0.5010079,-0.3877731,-0.5083128,-0.2447686,0.8256311,-0.6679841,-0.03366158,0.7434029,0.0,0.0,0.0,0.0,0.0,0.9406681
40,1449085029921,Xandi,6,27.48329,204.522,-13.42973,-11.66533,195.6096,-43.47717,-15.26246,172.7628,-48.59883,-10.066263,162.6152,-45.87071,5.240982,157.2932,-36.89878,24.59295,160.2617,-36.54232,50.1487492223616,63.8187402446712,64.9515205651616,57.2382932971075,50.015847439599,23.6927891771967,33.1230062153312,42.3962313385084,51.1110092733562,23.6927891771967,11.7225806121271,28.2249198520233,43.476037953304,33.1230062153312,11.7225806121271,18.5252982001761,35.9708097937357,42.3962313385084,28.2249198520233,18.5252982001761,19.5828187418508,51.1110092733562,43.476037953304,35.9708097937357,19.5828187418508,0.1935013,0.2752029,-0.9417045,-0.206365,0.1236449,-0.9706251,-0.412763,-0.8794456,0.2370256,-0.584838,-0.7610819,0.2805263,-0.6744436,-0.6612579,0.3282388,-0.8641339,-0.4799509,0.1510114,1.0,0.0,0.0,0.0,0.0,0.7063673
41,1449085053621,Xandi,7,39.06157,206.7083,-15.07673,27.59132,256.2557,-27.38413,-28.31631,184.0112,-49.68369,-24.34803,167.7249,-51.30081,-10.972826,160.5556,-39.73645,13.83422,154.6436,-36.09868,52.4008967302314,79.3331180815953,82.9964455247306,72.5021340042093,61.6130562150995,94.4259683117384,105.72961660742,104.129113110197,103.067429487501,94.4259683117384,16.8812066716776,30.9568870474994,53.3977189658997,105.72961660742,16.8812066716776,19.1989194947109,43.3665398677239,104.129113110197,30.9568870474994,19.1989194947109,25.8779933695996,103.067429487501,53.3977189658997,43.3665398677239,25.8779933695996,-0.268339,-0.13122508,-0.9533137,-0.08570169,-0.000989700000000001,-0.9959855,-0.7589249,-0.6413211,-0.060064428,-0.8240343,-0.5611833,-0.03426736,-0.8771052,-0.4720732,0.07698611,-0.9138099,-0.4032154,0.003756406,1.0,0.0,0.0,0.0,0.0,0.4279687
42,1449085070588,Xandi,8,21.70012,190.3488,19.01369,53.77933,203.9534,-8.012844,36.60563,227.4811,-16.4092,26.59763,231.1408,-16.09817,10.927528,226.7481,-22.31882,-3.127777,214.9016,-16.13348,44.123807685049,53.461894471556,54.0904031828015,56.1259916296318,49.5543527967103,30.334580310824,39.3263657638252,50.608484754893,58.5311029679825,30.334580310824,10.6839631082235,26.377641678503,41.6835348885356,39.3263657638252,10.6839631082235,17.4837650870214,33.8958131053629,50.608484754893,26.377641678503,17.4837650870214,19.3970193252964,58.5311029679825,41.6835348885356,33.8958131053629,19.3970193252964,0.09868868,-0.590741,-0.8007461,-0.1784274,-0.2756809,-0.944463,-0.3203098,0.8397264,0.4381338,-0.06642727,0.8867487,0.4568416,0.06043174,0.9909987,0.11222901,0.3557121,0.9328268,0.01294069,0.0,0.0,0.0,0.0,0.0,0.5605504
43,1449085075655,Xandi,9,-36.32082,181.3894,60.47013,-0.7305106,148.3601,96.91604,-6.796797,150.434,90.19955,-3.02399,149.0262,78.31298,-11.509492,136.1732,65.90831,-19.55885,139.1913,49.34677,60.7337870040141,52.1175489232664,49.7687459193047,51.9042824711796,46.7893414812541,9.33314193820535,18.7617738118156,35.0252615142052,51.9808794261192,9.33314193820535,12.5550249183852,28.5691828307965,44.2599180829021,18.7617738118156,12.5550249183852,19.7858659090132,34.7797012581235,35.0252615142052,28.5691828307965,19.7858659090132,18.6624018339308,51.9808794261192,44.2599180829021,34.7797012581235,18.6624018339308,-0.6833911,-0.6417699,0.3457461,-0.11433674,-0.8918363,0.4362869,0.8723356,0.3065877,-0.3787533,0.8648757,0.4362959,-0.2456494,0.9801279,0.1910798,0.03947419,0.9442169,0.2259083,0.2374898,0.0,0.0,0.0,0.0,0.0,0.3840014
44,1449085079871,Xandi,Close,-14.85897,206.3341,24.50431,7.53549,250.9657,20.76659,12.39967,248.3896,33.46206,2.35422,254.7879,33.18071,-13.13638,253.2375,30.93618,-26.64654,247.2835,22.26221,50.0778498371491,50.9178660518968,52.1477573305414,47.3741183723214,42.6714144197494,13.8770185651029,14.0054239468774,23.1525845778412,34.4126371478616,13.8770185651029,11.9481732209805,26.1280878625771,40.6451089414765,14.0054239468774,11.9481732209805,15.7304579755054,31.8840694484547,23.1525845778412,26.1280878625771,15.7304579755054,17.1237988786844,34.4126371478616,40.6451089414765,31.8840694484547,17.1237988786844,0.2683943,0.08096446,-0.9598972,0.06908961,0.6233772,-0.7786843,-0.2779723,0.2519703,0.9267853,-0.1606895,0.2798065,0.9464979,0.01915041,0.2573727,0.9661151,0.3064282,0.217617,0.9266759,0.0,0.0,0.0,0.0,0.0,0.4892321
67,1449086181713,Richer,Open,12.93157,168.3679,30.78841,-61.26955,155.801,10.10299,-16.32602,171.5232,-65.19567,20.47975,171.143,-70.62027,41.41817,162.227,-54.77419,66.71117,162.1555,-24.05658,78.0530699639629,100.413198973916,101.738081959108,90.3978166808686,77.0725303242628,89.115403627,115.920116516102,121.644264481923,132.620978295126,89.115403627,37.2082929415845,59.4197178022398,93.1470870186417,115.920116516102,37.2082929415845,27.7420990456318,66.2317693209678,121.644264481923,59.4197178022398,27.7420990456318,39.7924900763727,132.620978295126,93.1470870186417,66.2317693209678,39.7924900763727,0.2150935,0.001085526,-0.9764967,-0.5982294,-0.01012232,-0.8011347,-0.1578284,-0.06694895,-0.9843946,0.04645157,-0.10244255,-0.9932564,0.06895376,-0.1754707,-0.9818563,0.2412268,-0.12537,-0.9620153,1.0,1.0,1.0,1.0,1.0,1.0
68,1449086186679,Richer,0,29.89489,172.414,-7.920898,-24.05744,163.8327,-23.57958,-24.5283,180.8051,-23.63782,-28.38039,170.3715,-23.97395,-21.7844,154.5692,-22.66092,-4.341042,138.6487,-29.93461,56.834266025508,57.2654196629951,60.4821501014847,56.6258854976429,52.8847724668017,16.9817646456511,7.87773702857428,9.58358588127205,32.6124829195341,16.9817646456511,11.1347354505359,26.3973334315825,47.1629872509678,7.87773702857428,11.1347354505359,17.1808728301754,40.2484689812478,9.58358588127205,26.3973334315825,17.1808728301754,24.711787778243,32.6124829195341,47.1629872509678,40.2484689812478,24.711787778243,0.2009466,-0.05082149,-0.9782824,-0.3183464,-0.6349044,-0.7037943,-0.6175547,-0.1883702,0.7636347,-0.7142637,0.007614435,0.6998148,-0.7951771,0.1358256,0.5909618,-0.8999046,0.2541385,0.354379,0.0,0.0,0.0,0.0,0.0,0.7463178
69,1449086191746,Richer,1,17.23014,139.874,65.96844,17.0915,186.716,2.444951,-21.659,168.3084,52.36998,-26.32839,163.9123,64.00829,-41.40286,148.6884,70.53075,-30.44335,137.5125,83.93619,78.9303856411218,50.0680801656027,49.8007395002117,59.482625530398,51.014870917171,65.8283010257642,78.7124333959614,97.4898284950675,106.4070959148,65.8283010257642,13.2919619711673,33.2505033239466,44.9817583102316,78.7124333959614,13.2919619711673,22.4070265829897,33.3450388043224,97.4898284950675,33.2505033239466,22.4070265829897,20.6141942661599,106.4070959148,44.9817583102316,33.3450388043224,20.6141942661599,-0.4141421,-0.7043329,-0.5763527,-0.1977222,-0.06165245,-0.9782031,0.2604579,0.7103248,0.6537324,0.2253618,0.7644027,0.6038436,-0.3467696,0.8892171,0.2973455,-0.262014,0.9641008,0.036326536,1.0,0.0,0.0,0.0,0.0,0.7759317
70,1449086198379,Richer,2,45.38171,170.8705,68.45821,37.57243,234.5714,1.3939227,-40.89585,155.1328,25.91477,6.201894,200.8049,90.84959,16.53242,191.1949,102.2273,25.14671,176.574,107.7392,92.8276139794895,97.478426993676,54.1605143996802,48.853283786466,44.5562948658899,114.325000119529,100.632364982908,111.767140068351,121.768863976787,114.325000119529,92.3139694938954,102.094379018195,107.319189691584,100.632364982908,92.3139694938954,18.1264956028591,35.0936786088462,111.767140068351,102.094379018195,18.1264956028591,17.8497715768288,121.768863976787,107.319189691584,35.0936786088462,17.8497715768288,-0.7282664,-0.6216798,-0.2881063,-0.3720548,0.2178997,-0.9022341,-0.9721814,-0.1662518,-0.1648298,0.4527853,0.7716224,0.4461229,0.4161335,0.8423036,0.3416442,0.3542655,0.9124787,0.2032483,1.0,1.0,0.0,0.0,0.0,0.8236475
71,1449086205162,Richer,3,10.104798,181.1687,64.65253,6.151855,222.2164,49.87132,34.8148,195.9913,-30.48525,-4.736228,183.8949,-35.34945,-35.6822,184.8637,-16.30754,-17.50434,222.7152,69.60964,43.8079127138202,99.4145433644509,101.139969999129,93.0957237408779,50.131868346131,89.2620411629637,94.0780617452627,86.7590600224214,30.8162982769398,89.2620411629637,41.6451271518041,72.7657169726133,116.067509031012,94.0780617452627,41.6451271518041,36.3493369831379,112.64006088292,86.7590600224214,72.7657169726133,36.3493369831379,95.6412971736471,30.8162982769398,116.067509031012,112.64006088292,95.6412971736471,-0.2315801,0.08861447,-0.9687615,-0.4820601,0.4257803,-0.7656961,0.06074762,0.3362976,-0.939189,-0.1702684,0.258995,-0.950444,-0.322295,0.3554299,-0.8769414,0.4611585,0.6797124,0.570212,0.0,1.0,1.0,1.0,0.0,0.9661498
72,1449086207163,Richer,4,12.585,181.5191,67.70252,4.401249,224.6954,62.33501,39.42881,203.4429,-24.44146,5.280193,185.1698,-32.85113,-28.73154,171.3737,-17.0348,-53.44959,165.8922,16.36901,44.2755815327401,98.4480172304113,100.889045871219,94.8238731767493,85.0927875333916,95.9631387015637,103.073811884497,101.200989038031,94.4364900063613,95.9631387015637,39.6392622752616,75.6967320007889,108.178956857702,103.073811884497,39.6392622752616,39.9675709534959,79.0174705355122,101.200989038031,75.6967320007889,39.9675709534959,41.916285217009,94.4364900063613,108.178956857702,79.0174705355122,41.916285217009,-0.204961,0.2586447,-0.9439016,-0.5577515,0.5191176,-0.647472,0.06065272,0.356408,-0.9322927,-0.1148595,0.2289044,-0.9666172,-0.3275254,0.1485805,-0.9330127,-0.5336706,0.1317786,-0.835252,0.0,1.0,1.0,1.0,1.0,0.8885004
73,1449086210479,Richer,5,31.55899,172.3452,69.86196,-24.2506,199.9416,56.99454,21.57133,210.4923,-13.29709,23.30583,177.5365,-25.62742,8.466489,163.8175,1.8540175,11.85072,148.3291,22.03163,63.5781197207865,92.0387274661685,95.989990664615,73.2923502657634,57.0408121668086,84.5749354087268,97.9332457679838,74.0435232723124,72.0475460808389,84.5749354087268,35.235446434756,52.8463735926845,72.1612678664834,97.9332457679838,35.235446434756,35.2891075058611,57.063840917501,74.0435232723124,52.8463735926845,35.2891075058611,28.2384674498238,72.0475460808389,72.1612678664834,57.063840917501,28.2384674498238,0.1245842,0.154311,-0.9800842,-0.4953428,0.1232333,-0.8595938,-0.5345155,0.09692796,-0.8393638,-0.550279,0.008090102,-0.8348179,-0.86681,0.1540455,-0.1323895,-0.9507171,0.2817112,0.1291269,0.0,1.0,1.0,0.2,0.0,0.9235372
74,1449086230229,Richer,6,24.9438,183.1167,29.40588,-9.973113,190.8706,-7.803185,-21.17583,186.2976,-13.58099,-20.11861,174.5485,-16.40702,-5.121202,158.8368,14.07707,9.016134,151.8844,11.6517,51.6180919211992,63.1295468664519,64.8616716989688,41.5753986889211,39.3003978436792,13.4389077722552,21.2318507883821,39.1009222288563,47.5345824321715,13.4389077722552,12.4052891544816,42.1529518326587,52.2736644900935,21.2318507883821,12.4052891544816,37.4560253811674,46.4089455774697,39.1009222288563,42.1529518326587,37.4560253811674,15.9403491295276,47.5345824321715,52.2736644900935,46.4089455774697,15.9403491295276,0.4370992,0.3687693,-0.8203163,0.06228452,0.1994276,-0.9772028,-0.7378098,-0.6448897,0.1992301,-0.8634855,-0.4565265,0.2107183,-0.5295613,-0.2493511,0.810745,-0.6395328,-0.011259154,0.7683914,0.0,0.0,0.0,0.0,0.0,0.6079243
75,1449086277094,Richer,7,53.15446,162.7669,48.92178,13.14069,193.9809,20.28209,-5.833549,181.9356,-4.608779,-12.54429,159.8394,-4.457678,-8.223118,147.7548,7.037788,5.495208,130.6213,21.3541,58.2736390004575,81.9357304857271,84.7112679641491,75.8152680817401,63.7596761219036,33.5603311108851,49.3903561807263,52.6368586678673,63.8383033031217,33.5603311108851,23.1040826447344,36.1917114242846,58.6203024091779,49.3903561807263,23.1040826447344,17.238961134428,42.9814272199552,52.6368586678673,36.1917114242846,17.238961134428,26.2240313464266,63.8383033031217,58.6203024091779,42.9814272199552,26.2240313464266,0.0294642,-0.3007588,-0.9530103,-0.3631334,-0.000900518,-0.9317166,-0.9618772,0.04670071,-0.2688446,-0.9454678,0.05275107,-0.3208395,-0.9144033,0.1350203,-0.3813937,-0.8531571,0.1572984,-0.4972609,1.0,0.0,0.0,0.0,0.0,0.3918334
